,open,close,high,low,total_turnover,volume
2010/7/6,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/7,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/8,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/9,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/12,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/13,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/14,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/15,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/16,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/19,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/20,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/21,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/22,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/23,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/26,5.9164,5.9164,5.9164,5.9164,0,0
2010/7/27,5.9164,5.9164,5.9164,5.9164,0,0
